,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,1.4469254327619945,0.00025338541666542055,0.2605,-4.4270833333332845e-06,0.00024999999999997247,21.519377559559825
ii,0.44548724617493113,6.684027777495488e-06,0.136,6.796874999999738e-06,0.0005000000000000004,13.219152856804891
iii,0.5491815328292089,0.0001522352430568234,-0.1225,1.122395833333338e-05,0.0005000000000000004,3.0084818661949746
avr,0.8088819011977346,0.00013273871527965997,-0.2425,-1.1870659722218206e-06,-0.00024999999999997247,16.617835019331064
avl,0.886642375249911,0.0002973437500008472,0.258,-7.825520833333556e-06,0.0,8.957721568024445
avf,0.13558754726465638,-8.893229166672796e-05,-0.0075,9.0039062500001e-06,0.0005000000000000004,2.7329269438361123
v1,0.6769659432903127,-0.00024070312500243515,0.182,-1.4069010416667207e-05,0.0,31.722917380454927
v2,0.983028198225899,0.00010251302083451053,0.2075,-1.2189670138889331e-05,0.0,166.03103158903374
v3,0.627713074754757,0.00012485243055698032,-0.004,-1.1265190972222282e-05,0.0,106.28535393793578
v4,0.62445826138364,9.931857638654391e-05,0.1115,-1.5349392361111217e-05,0.0,49.196802067522626
v5,0.2705379798802781,-0.0001941145833334701,-0.1425,-2.54991319444442e-06,0.0,9.781744095918263
v6,0.2376769348152306,-3.0481770830221954e-05,-0.0735,-1.0262586805555466e-05,0.0,4.6889250771410795
vx,0.062241556694620524,6.958333333308817e-05,-0.0245,-2.465277777777817e-06,0.0,3.0533525149574756
vy,2.294817221734266,-0.00023929687499736483,0.26,-2.5373263888887995e-05,0.00024999999999997247,28.365681142448064
vz,0.4837347879020486,-4.775173611496117e-05,0.125,-1.4800347222222386e-06,0.0,15.106104128684892
