,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.04196165966178091,0.00011151041666623544,-0.037,-6.751302083333354e-06,0.0,10.319574526792838
ii,0.13669316711436869,-5.046874999989504e-05,0.012,-4.0091145833333466e-05,0.0005000000000000004,3.387142716595063
iii,0.15733489331753497,-0.0001683333333330257,0.042,-3.333984375000021e-05,0.0002500000000000002,18.063138468479735
avr,0.04999206483423887,0.00021757812500018374,0.018,2.34179687500001e-05,-0.0002500000000000002,2.111447014381602
avl,0.0654560020005672,0.00016721354166637274,-0.061,1.3294270833333321e-05,0.0,13.44864044772179
avf,0.1365238619952701,0.000140208333333755,0.021,-3.6738281249999824e-05,0.0002500000000000002,7.921424821540419
v1,0.41758646165987484,-0.00016999999999896758,0.059,-4.376953124999971e-05,0.0,51.079949823465576
v2,0.36219909667211314,-0.00023210937499897004,0.0645,-3.317057291666658e-05,0.0002499999999999989,72.95450572936123
v3,0.6620155791196773,9.108072916724945e-05,0.1605,-3.285807291666621e-05,0.0005000000000000004,205.42970131353314
v4,0.6949761302754599,-0.0001920572916641316,0.1435,-3.858072916666672e-05,0.0007499999999999999,204.9985536210752
v5,0.48117168818009676,-0.00013347656250071476,0.0935,-3.86328125000001e-05,0.0005000000000000004,115.58890780890694
v6,0.2251051814673531,0.00011593749999846148,0.0345,-4.0631510416666294e-05,0.0002500000000000002,3.4314549109336294
vx,0.14431483751062918,-0.00015424479166666635,-0.0425,8.398437500000324e-07,-0.0002500000000000002,54.692960330655296
vy,0.05261038415839443,0.00015401041666619262,-0.0285,8.138020833333084e-07,0.0005000000000000004,2.414403950633759
vz,0.19752690488853827,3.99479166665948e-05,-0.0735,5.651041666666714e-06,-0.0002500000000000002,85.16051006925902
