,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.21647484996312982,-0.0001548828125002969,0.0315,3.804687499999994e-05,-0.00024999999999997247,8.796344488520868
ii,0.08106759860998863,-0.00012480468750000978,0.026,1.809895833333328e-05,0.0002500000000000002,14.204526879135788
iii,0.09210171136670031,2.8763020834252813e-05,0.0205,-1.9947916666666683e-05,0.000250000000000028,30.383642792473026
avr,0.12574611368534844,0.00013872395833386197,-0.029,-2.8079427083333373e-05,0.0,4.026201713271468
avl,0.1340233499053402,-9.187499999951118e-05,0.0125,2.8984374999999954e-05,-0.0002500000000000002,16.039870126032614
avf,0.032424264778402316,-4.94791666641904e-07,0.032,-9.049479166665986e-07,0.0002500000000000002,20.069729279081717
v1,0.006923560939505884,-2.1223958332143555e-06,-0.009,1.9596354166666395e-06,0.0,3.9704382660000186
v2,0.04717057869769691,-8.54687500000118e-05,0.025,3.6718750000001668e-06,0.0002500000000000002,23.483150425280392
v3,0.09684675362865017,-5.949218750004612e-05,0.0555,-4.329427083333553e-06,0.0002500000000000002,53.05254987239813
v4,0.11488640122394332,-6.7604166666388e-05,0.0795,1.608072916666672e-05,0.0005000000000000004,42.43407328862883
v5,0.0690267170428851,0.00022861979166705076,0.054,9.746093750000089e-06,0.0002500000000000002,27.05850122135004
v6,0.037854877992380104,-2.7760416666534153e-05,0.0245,1.2662760416666653e-05,0.0002500000000000002,8.902656521740106
vx,0.021061645038423425,0.0002319401041666972,0.0235,-3.164062499999918e-06,0.0,10.272000392969769
vy,0.031108030809541637,-0.00020733072916657164,0.0335,-7.85807291666674e-06,0.0002500000000000002,16.848086830401282
vz,0.016805451121308882,8.372395833264072e-06,-0.0195,3.3203124999984184e-07,-0.0005,9.884404641248938
