,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.050644293935060404,7.059895833305823e-05,-0.055,-7.011718749999965e-06,0.0,13.893825000118326
ii,0.03314355829209008,-0.00013031249999970532,0.031,1.8098958333335153e-06,0.0007500000000000007,8.842463995397203
iii,0.12512355079464824,-0.00018962239583326278,0.04775,8.80208333333334e-06,0.0007499999999999972,37.658965441541135
avr,0.010602178164786135,3.154947916672927e-05,0.0105,2.6041666666665764e-06,-0.0002500000000000002,2.138340064350503
avl,0.07962016947923974,-0.00011345052083311762,-0.0315,-7.903645833333465e-06,-0.0002500000000000002,22.668881278248787
avf,0.06649465164061365,8.322916666703153e-05,0.041,5.305989583333323e-06,0.0005000000000000004,20.2330937886627
v1,0.057661803560681096,-2.7252604166550172e-05,0.0385,-6.087239583333254e-06,0.0002500000000000002,22.23162363445071
v2,0.1289917113765621,0.00010875000000002006,-0.0075,-7.851562500000075e-06,0.0005000000000000004,78.99930740375976
v3,0.17937708507031008,-7.338541666695387e-05,0.0525,-1.6341145833333655e-05,0.0005000000000000004,96.9381153558151
v4,0.10903331022216335,-0.00021048177083364682,-0.009,-1.3053385416666654e-05,0.0007500000000000007,36.731166193226244
v5,0.08965237400081506,0.00016356770833344275,-0.0235,-9.088541666666707e-06,0.0005000000000000004,13.29846770258288
v6,0.05603814519895659,-2.6692708333274808e-05,-0.034,-1.3606770833333154e-06,0.0,12.516737181391719
vx,0.0670133537216778,-9.25390625004596e-05,-0.025,4.889322916666674e-06,0.0,15.798035695925837
vy,0.042774206928479074,0.0002579817708330718,-0.008,1.1393229166666742e-05,0.0002500000000000002,9.140341421877924
vz,0.10757147210717055,0.00020851562500014316,-0.016,1.4433593749999942e-05,-0.0002500000000000002,35.62266922535203
