,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.03521063039458444,0.0003714378562155131,0.0325,4.557877545578811e-06,0.0002500000000000002,5.86552266150316
ii,0.10799209250448112,5.916491684197181e-05,0.0405,8.351248208512392e-06,0.0,4.73043907123927
iii,0.03889125017104644,-0.00013106189381175486,-0.0055,3.785038162850461e-06,0.0,4.283858505364654
avr,0.06187242871728346,-0.00018468153184777057,-0.031,-6.455604439555875e-06,-0.00024999999999997247,4.306245870360495
avl,0.01008403000385648,0.00014398143518983784,0.0035,3.8954437889553345e-07,0.0,3.4544215751219607
avf,0.06463165025235064,-4.704946172152577e-05,0.0195,6.068143185681466e-06,0.0,4.168526093907796
v1,0.05663703718630776,-8.526230710028143e-05,0.0815,-3.6954637869546508e-06,0.0,2.0020572628641227
v2,0.1358686608514388,-0.00019920507949418753,0.0175,8.299170082991463e-06,0.0002500000000000002,54.674389116358455
v3,0.16364112048476437,8.17543245699217e-05,0.0175,-2.8330500283306194e-06,0.0002500000000000002,60.54429079858107
v4,0.10462901411569668,7.298020198015832e-05,-0.033,6.3222844382229316e-06,0.0002500000000000002,45.62218689760436
v5,0.10540927594001322,-2.6001566510504473e-05,-0.0355,-3.568393160683856e-06,0.0002500000000000002,34.57516115467918
v6,0.12984228532812,0.0001919474719152349,-0.006,-9.851098223511111e-06,0.0002500000000000002,13.981987727929521
vx,0.10723353045266225,-0.00014381895143815616,0.012,-8.374162583741803e-06,0.0002500000000000002,17.532033371113297
vy,1.2351730518748003,3.82295103816067e-05,0.1145,3.1603089691030524e-05,0.0,5.656514635029483
vz,0.18163197645714033,6.38602806382408e-05,0.029,8.713711962137097e-06,0.0,9.78012523968877
